,zh_hans
1233,False
AT,False
Aa1388zz,False
Abacn,True
Adsa562,False
Alexander_Misel,True
Alexchris,False
Alexsh,False
An_Macanese,False
AndyAndyAndyAlbert,False
Antigng,True
Aotfs2013,False
ArthurLau1997,True
Artoria2e5,True
ArvinTing,True
Asdfugil,False
AsharaDayne,True
B_dash,False
BakaChinatsu,True
Baycrest,False
Beta_Lohman,True
Billytanghh,False
Bluedeck,True
Bowleerin,False
Bxxiaolin,True
Ch.Andrew,False
Chinuan12623,False
Choihei,False
Clear_Sky_C,True
CopperSulfate,True
Cp111,False
Cwek,True
Dargasea,True
Datou_1996,True
Davidzdh,True
DeBit,True
Dingruogu,True
Dqwyy,True
DreamLiner,True
E8xE8,True
Eland_Zhou,False
Eric850130,False
Erquanmen,True
FRDian,True
Fayhoo,True
Ffaarr,False
FireFeather,False
ForwardXu,True
Francotsangfh,False
Gakmo,False
Galaxyharrylion,True
Gszq,True
H2244932,False
Hal_0005,True
Hamishcn,True
Happy60907,False
Hat600,True
Hikaruangeel,True
Howbunbun,False
Huihengchen,True
IMJENRY,False
Iokseng,False
Irc782,True
It's_gonna_be_awesome,False
Itsminecookies,False
Jacklamf1d14,False
Jane9306,False
Jarl_Sverre,False
Jarodalien,True
Jason22,False
Jasonzhuocn,False
Jessicat830,False
Jimmy_Xu,True
Jimmy_wiki,False
John123521,False
John_doe_120,False
Joshua_Zhan,False
Joylintp,False
Jpcomic,True
Jsjsjs1111,True
Kanashimi,False
Kegns,True
Kencola,False
Kolyma,False
Kou_Dou,False
Kuailong,True
LDM2060,True
LHD,False
LNDDYL,False
Lakokat,False
Lanwi1,True
Legolas1024,True
Leiem,True
Lily135,False
Liu116,True
Lnnocentius,False
Lqg159,True
Lt2818,True
Manchiu,False
Marvin_2009,False
Matt_Smith,False
Meidosensei,False
Mewaqua,False
Morgan_Siu,False
Mrhso2014,True
Nbfreeh,True
Neville_Wang,False
New_visitor,True
Njzjz,True
No1lovesu,False
O1lI0,False
Ochloese,False
Opky9407,False
Panzer_VI-II,True
Paoting,True
PhiLiP,True
PlyrStar93,True
Qinyongr,True
RabbitMeow,True
Red16,True
Reke,False
Richard923888,False
Ricknator,False
S099001,False
Sacha,True
Shizhao,True
Shopping0624,False
Shwangtianyuan,True
Smallpei,False
Snghrax,True
Stang,True
Staph aureus,False
StevenK234,False
Subscriptshoe9,False
SyaNHs,True
SzMithrandir,True
T.A_Shirakawa,False
TSVC1190,True
TaiwanAlex1,False
Tanimodori,True
Tb095811zhwiki,False
Techyan,True
Temp3600,False
The_powder_toy,True
Theodore_Xu,True
Tigerzeng,True
Vanished user 1929210,False
Vinct_1998,False
WAN233,True
WQL,True
Waihorace,False
Walter_Grassroot,True
Wcam,True
Wetrace,False
Whaterss,True
WhitePhosphorus,True
Wikijjj0001,True
Wildcursive,False
WilliamSkyWalk,False
Winertai,False
Wolfch,False
Wong128hk,False
Xiplus,False
Y814756748,True
You_are_my_everything_Taipei,False
Z1148059382,True
Z7504,False
ZEdzEd3168,False
Zhangguozhen,True
Zhanghui66,True
Zhangzj_cet,True
Zhxy_519,False
丁子君,True
佛壁灯,True
写字板,True
南极熊,True
卡達,False
和平奮鬥救地球,False
嘀嘀嘀,True
坚决杀毒2008,True
太子太保啦啦,True
守望者爱孟,True
宋世怡,True
宋仲慧,False
小躍,False
彭鹏,True
我乃野云鹤,True
星巴克女王,True
星耀晨曦,True
春卷柯南,False
暖城2016-02-05,True
李4,True
杰里毛斯,True
樑桂,True
武藏,False
油条烧饼麻花,True
淺藍雪,False
瑞丽江的河水,True
申花蓝血人,True
石家庄小伙,True
空间的拓荒者,True
老陳,False
胡蘿蔔,False
脳内補完,True
苏你妹~,True
范,True
葉又嘉,False
蘇州宇文宙武,True
蘭斯特,False
追迹未来,True
金善賢,False
金牌雄鹰,True
霧島聖,True
飞贼燕子,True
香港中立人,False
骑鹿的阿瑟先生,True
鱼头炮,True
